gene,SJRHB046412_C1,SJRHB046412_C2,SJRHB046412_C3,SJRHB046412_C4,SJRHB046412_C5,SJRHB046412_C6,SJRHB046412_C7,SJRHB046412_C8,SJRHB046412_C9
WISP2,0,1,0,0,0,6,2,2,3
WISP3,0,0,0,0,0,0,0,0,0
WIZ,4457,4029,5546,2976,3637,2795,2771,3064,3457
WLS,4594,7528,2356,2377,2498,4492,3774,2662,3091
WNK1,30103,24596,37352,34437,40050,20419,19996,31163,36201
WNK2,31,57,11,8,13,36,32,11,16
WNK3,1425,1215,1963,953,1075,769,723,832,992
WNK4,46,48,57,90,80,75,47,51,65
WNT1,0,0,0,0,1,0,0,0,0
WNT10A,10,0,13,2,8,1,1,4,6
WNT10B,344,339,467,410,428,264,245,322,344
WNT11,37,22,45,6,2,9,13,13,9
WNT16,0,0,0,0,3,2,1,0,0
WNT2,6,6,1,8,6,1,9,3,7
WNT2B,293,490,257,183,212,504,323,232,250
WNT3,1455,1545,1744,777,906,738,725,744,849
WNT3A,3,7,1,0,0,21,15,6,3
WNT4,53,39,32,9,8,13,9,6,17
WNT5A,2180,2893,1922,1083,1257,1632,1404,1121,1467
WNT5A-AS1,4,8,5,0,3,1,2,1,4
WNT5B,251,277,349,361,387,205,191,358,330
WNT6,109,93,124,59,64,41,33,66,61
WNT7A,0,0,0,0,0,0,0,0,0
WNT7B,10,6,3,1,2,1,3,1,3
WNT8A,0,0,1,0,1,0,0,0,0
WNT8B,0,1,0,1,0,0,0,0,0
WNT9A,168,88,228,29,35,52,58,34,68
WNT9B,0,0,1,1,0,1,0,1,1
WRAP53,1687,1285,2289,870,1034,964,920,1011,1069
WRAP73,1731,1908,2262,1222,1393,1113,1150,1281,1438
WRB,1295,1240,1460,847,944,888,752,824,980
WRN,5180,5832,6286,5628,6048,4361,3946,4709,5684
WRNIP1,4672,3479,6408,3568,4147,2317,2291,3325,3881
WSB1,12431,12687,17003,8599,9556,8129,7236,8075,9536
WSB2,6213,5159,7015,4768,5569,4484,4196,4800,5640
WSCD1,41903,35650,58600,24408,28127,21006,19567,24028,26939
WSCD2,0,0,0,0,0,0,0,0,0
WT1,0,0,0,1,0,0,1,1,1
WT1-AS,0,0,0,1,3,1,0,1,0
WTAP,14487,11753,19510,9306,10506,7516,6722,8176,10205
WTIP,1040,1278,969,1248,1525,1084,1244,1289,1460
WWC1,5,3,5,3,4,6,5,4,8
WWC2,2991,2722,3766,1910,2419,2274,2322,1973,2543
WWC2-AS1,0,0,0,1,0,0,1,0,2
WWC2-AS2,3,5,5,1,2,4,2,2,2
WWC3,1396,1387,1500,905,1112,805,797,836,987
WWC3-AS1,0,0,0,0,0,0,0,0,0
WWOX,1131,887,1788,508,518,530,435,511,464
WWP1,2471,2614,2700,2071,2340,2048,1710,2000,2385
WWP2,2104,2005,2582,1552,1886,1693,1723,1634,1941
WWTR1,2866,5157,1072,1567,1870,3921,3476,2240,2741
WWTR1-AS1,45,43,30,23,25,31,24,15,30
WWTR1-IT1,69,147,29,34,52,88,82,44,72
XAB2,2978,2630,3713,2042,2391,1816,1813,2185,2425
XAF1,223,556,36,1,4,8,12,3,10
XAGE1A,8,2,18,7,8,3,0,3,4
XAGE1B,12,2,18,7,7,2,1,4,10
XAGE1C,12,5,26,9,7,4,3,4,6
XAGE1D,1,0,0,2,3,0,0,1,0
XAGE1E,5,4,14,7,17,3,4,8,9
