gene,SJRHB046412_C1,SJRHB046412_C2,SJRHB046412_C3,SJRHB046412_C4,SJRHB046412_C5,SJRHB046412_C6,SJRHB046412_C7,SJRHB046412_C8,SJRHB046412_C9
5S_rRNA,0,1,0,0,0,0,0,0,0
7SK,706,646,856,393,416,252,315,364,332
A1BG,41,107,42,20,47,45,42,24,36
A1BG-AS1,886,1028,1023,546,634,612,598,561,609
A1CF,0,0,0,0,0,0,1,0,0
A2M,0,0,2,1,4,0,0,3,4
A2M-AS1,56,31,91,44,47,24,11,22,33
A2ML1,0,1,1,0,1,1,1,0,0
A2ML1-AS1,1,3,2,2,1,0,0,0,1
A2ML1-AS2,1,0,1,0,0,1,0,0,0
A3GALT2,12,14,22,32,37,35,32,27,25
A4GALT,65,71,53,16,24,67,55,43,30
A4GNT,2,2,5,3,4,1,0,3,4
AAAS,3801,3664,4722,2171,2637,2527,2544,2251,2643
AACS,4965,3164,8876,2591,2857,2202,2125,2387,2738
AADAC,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,2,0,0,0,0
AADAT,1341,1358,2134,1219,1408,932,918,1009,1212
AAED1,468,664,465,571,615,627,539,516,613
AAGAB,3518,3077,3961,2366,2656,2444,2263,2152,2652
AAK1,3617,3827,4323,2358,2734,2857,2534,2309,2666
AAMDC,430,372,539,270,299,286,262,240,260
AAMP,7870,6325,9913,6067,7046,5129,4918,6151,7268
AANAT,10,14,18,5,3,2,0,2,3
AAR2,5400,4389,6586,3312,3991,2735,2799,3074,3665
AARD,14,25,1,5,5,22,15,8,7
AARS,10048,8813,13102,5717,6749,5722,5514,5647,6365
AARS2,2139,2225,3090,2185,2419,1774,1817,1992,2312
AARSD1,222,307,343,162,155,115,123,122,156
AASDH,1979,1967,2621,1595,1705,1455,1177,1416,1566
AASDHPPT,6025,4961,7484,5097,5698,3905,3149,4528,5596
AASS,3212,2757,4546,2593,2898,1807,1737,2272,2651
AATF,5672,4635,7140,4555,5350,3634,3558,4079,4972
AATK,1598,1670,2009,812,912,826,809,1010,1035
AATK-AS1,29,24,37,4,10,7,4,3,10
AB015752.3,50,52,47,39,49,34,45,45,49
AB019440.50,0,0,0,0,0,0,0,0,0
ABAT,54330,40566,74696,24202,28239,15031,14401,21394,24636
ABCA1,39,51,11,8,2,11,8,5,6
ABCA10,7,12,5,3,10,18,9,17,8
ABCA12,281,380,130,39,49,111,105,89,93
ABCA13,4,0,5,0,2,0,1,2,2
ABCA2,3740,3979,5447,1786,1976,2357,2025,2115,2258
ABCA3,129,86,255,28,34,20,23,32,21
ABCA4,46,63,23,3,6,19,14,19,10
ABCA5,264,508,203,273,262,325,271,269,246
ABCA6,1,0,0,4,1,3,2,1,0
ABCA7,873,1055,1221,294,251,404,389,338,319
ABCA8,56,108,1,2,1,345,240,76,93
ABCA9,19,27,3,2,0,23,14,6,6
ABCA9-AS1,1,0,0,0,0,0,0,0,0
ABCB1,19,15,6,5,5,8,10,14,5
ABCB10,1865,1653,2538,1227,1381,1122,1059,1173,1397
ABCB11,120,48,217,62,70,41,42,49,56
ABCB4,85,72,115,29,32,39,32,32,24
ABCB5,7,11,7,0,0,6,0,0,1
ABCB6,453,605,764,434,493,373,319,330,451
ABCB7,1244,1378,1533,950,1108,1024,912,988,1101
ABCB8,2673,3439,2782,1779,2130,2045,1920,1863,2152
ABCB9,613,605,810,285,317,341,324,294,388
ABCC1,4828,6229,4976,3606,3974,4449,4139,3576,3997
ABCC10,1349,1367,2027,858,1019,838,824,908,1053
ABCC11,27,25,20,8,13,14,13,12,6
ABCC12,1,2,0,0,0,1,1,0,1
ABCC2,165,74,301,76,58,70,53,55,77
ABCC3,12,12,40,8,7,7,5,6,8
ABCC4,2855,2184,4137,2977,3384,2002,1919,2360,2952
ABCC5,4768,5406,5964,3024,3361,2653,2636,2901,3330
ABCC5-AS1,0,0,0,0,0,0,0,0,0
ABCC6,5,13,0,4,4,9,7,3,2
ABCC8,137,188,151,109,86,152,176,121,140
ABCC9,700,784,954,830,758,519,532,481,553
ABCD1,502,450,516,243,277,282,298,280,280
ABCD2,0,0,2,0,0,0,0,0,0
ABCD3,6311,6008,7427,4490,4946,4620,3920,4313,5180
ABCD4,3897,3955,5959,2493,2905,2611,2442,2472,2808
ABCE1,8591,7876,10698,8722,9534,7277,6150,7882,9787
ABCF1,8835,7458,10796,7360,8645,5985,5893,7285,8628
ABCF2,5645,5572,6112,6092,7148,5215,4913,5959,7208
ABCF3,1786,2750,1403,1947,2203,2169,2040,1911,2236
ABCG1,281,39,559,76,90,33,46,51,51
ABCG2,127,243,47,113,110,186,175,100,162
ABCG4,28,66,24,16,20,31,32,18,15
ABCG5,0,1,2,0,0,0,0,0,1
ABCG8,0,0,0,1,0,0,1,0,1
ABHD1,4,26,14,3,5,12,1,2,4
ABHD10,2571,3074,2205,1915,2155,2525,2260,2090,2530
ABHD11,850,843,1244,815,907,691,716,608,766
ABHD12,2557,2679,2876,1903,2158,1949,1741,1921,2132
ABHD12B,1,5,6,0,1,1,3,0,0
ABHD13,797,805,950,700,800,653,454,628,819
ABHD14A,173,173,210,66,84,85,74,46,67
ABHD14A-ACY1,8,11,5,2,4,8,0,2,5
ABHD14B,343,395,424,138,130,119,137,123,128
ABHD15,1071,1153,1283,658,774,669,591,691,735
ABHD16A,85,113,107,62,57,56,38,69,54
ABHD16B,13,9,13,2,2,2,3,9,2
ABHD17A,2350,2291,3000,1518,1827,1463,1452,1755,1964
ABHD17B,1749,1834,1807,1842,1983,1402,1252,1639,2024
ABHD17C,339,425,294,540,651,426,403,522,551
ABHD2,5009,6029,4579,3774,4333,5468,4957,4003,4911
ABHD3,1962,2233,2599,1600,1643,1729,1562,1510,1705
ABHD4,2297,2158,2162,678,822,1116,1013,882,1066
ABHD5,354,406,302,248,280,409,302,240,299
ABHD6,209,253,196,102,135,175,143,120,144
ABHD8,1320,1311,1274,762,894,767,775,858,868
ABI1,4303,4225,5079,2597,2816,2940,2685,2456,3111
ABI2,17337,17001,20712,19339,21047,16631,13880,17544,19867
ABI3,744,976,543,202,244,732,742,378,397
ABI3BP,3402,7217,634,297,284,13413,10480,3049,3798
ABL1,16114,16852,16934,11102,13430,13549,13106,12557,14384
ABL2,7923,7351,9637,5936,6848,6718,6526,5783,7047
ABLIM1,1057,1142,714,846,1031,953,1162,944,1212
ABLIM2,83,88,97,30,32,33,32,28,38
ABLIM3,649,208,1161,234,320,125,124,206,190
ABO,2,0,0,0,0,0,0,0,0
ABR,1390,1767,1227,1076,1183,1214,1018,1169,1216
ABRA,0,0,0,1,0,0,1,1,2
ABRACL,982,1219,768,721,828,1135,889,841,970
ABT1,1356,1033,1826,1048,1282,847,850,1011,1281
ABTB1,673,685,1077,653,676,384,365,622,678
ABTB2,278,198,414,189,209,140,138,167,168
AC000032.2,0,0,0,0,0,0,0,0,0
AC000036.4,0,0,0,0,0,0,0,0,0
AC000067.1,3,9,4,0,0,2,4,1,0
AC000068.10,14,16,27,13,7,6,10,14,7
AC000068.5,175,146,253,57,72,71,67,70,62
AC000068.9,22,24,50,17,16,14,15,12,22
AC000099.1,0,0,0,0,0,0,0,0,0
AC000111.3,0,0,0,0,0,0,0,0,0
AC000111.6,0,0,0,0,0,0,0,0,0
AC000120.7,238,228,347,167,178,174,154,134,164
AC000123.4,0,0,0,0,0,0,0,0,0
AC000124.1,0,0,0,0,0,0,0,0,0
AC000370.2,1,0,0,0,0,0,0,0,1
AC002044.4,21,33,17,15,7,5,11,9,15
AC002056.5,0,0,0,0,0,0,0,0,0
AC002059.10,26,29,62,28,28,12,22,18,28
AC002064.4,0,0,0,0,0,0,0,0,0
AC002064.5,17,18,16,23,17,21,23,17,28
AC002066.1,43,54,14,5,6,55,41,14,32
AC002076.10,1,1,1,0,0,0,0,0,0
AC002115.5,0,0,0,0,0,1,0,0,0
AC002115.9,0,0,0,0,1,0,0,1,0
AC002116.7,180,160,274,101,122,105,63,96,84
AC002116.8,0,0,0,0,0,0,0,0,0
AC002117.1,309,352,414,131,125,124,107,136,119
AC002127.4,153,58,259,248,211,106,95,143,168
AC002128.5,5,5,3,1,2,0,2,0,3
AC002306.1,1,0,0,0,0,0,0,0,0
AC002310.12,241,208,357,153,126,108,66,116,101
AC002310.13,0,0,0,0,0,0,0,0,0
AC002310.7,79,97,122,33,50,29,42,40,36
AC002331.1,0,0,0,0,0,0,0,0,0
AC002368.4,0,1,0,0,0,0,0,0,0
AC002383.2,7,1,1,5,4,1,2,3,3
AC002386.1,0,0,0,0,0,0,0,0,0
AC002398.11,6,11,12,10,10,5,5,4,7
AC002398.12,21,21,15,10,18,13,14,14,18
AC002398.13,1,4,1,1,0,0,0,0,0
AC002398.5,0,1,0,0,0,0,0,0,0
AC002398.9,0,0,0,0,0,0,0,0,0
AC002401.1,6,13,20,6,5,4,6,1,5
AC002429.5,10,14,3,2,1,26,15,4,3
AC002451.3,2,5,1,0,1,7,5,0,1
AC002454.1,630,687,709,554,682,622,614,536,641
AC002456.2,89,84,202,91,102,60,45,78,76
AC002463.3,6,9,2,7,4,2,4,4,5
AC002465.2,0,0,0,0,0,0,1,0,0
AC002467.7,86,49,101,42,39,42,33,38,41
AC002472.11,32,48,44,26,13,18,18,14,20
AC002472.13,48,54,78,24,20,30,34,20,18
AC002480.2,0,0,5,0,1,1,2,0,3
AC002480.3,0,1,0,0,0,0,0,0,0
AC002480.4,0,0,0,0,0,0,0,0,0
AC002480.5,1,0,2,1,0,1,0,0,0
AC002511.1,0,0,0,0,1,0,0,0,0
AC002511.2,0,0,0,0,0,0,0,0,0
AC002511.3,0,0,0,0,0,0,0,0,0
AC002519.8,10,15,14,13,10,8,7,15,12
AC002539.1,0,0,0,0,0,0,0,1,0
AC002550.5,9,3,10,4,3,7,13,3,8
AC002551.1,54,77,91,63,54,55,33,48,50
AC002985.3,0,0,0,0,0,0,0,0,0
AC003002.4,0,0,0,0,0,0,0,0,0
AC003002.6,21,30,27,19,27,19,18,8,8
AC003003.5,10,4,9,1,0,1,4,1,4
AC003005.2,41,40,42,42,39,28,31,22,38
AC003005.4,0,0,0,0,0,0,0,0,0
AC003006.7,0,0,0,0,0,0,0,0,0
AC003009.1,0,0,1,0,0,0,0,0,0
AC003051.1,11,3,16,14,10,2,8,5,6
AC003075.4,61,62,93,36,57,39,38,44,46
AC003084.2,0,0,0,0,1,0,0,0,0
AC003088.1,18,13,29,13,13,4,8,7,7
AC003090.1,641,463,1183,206,212,185,111,163,157
AC003092.1,6,6,2,0,4,6,1,0,3
AC003092.2,1,3,0,0,0,1,2,0,0
AC003101.1,2,0,1,0,0,2,0,1,1
AC003102.3,35,51,20,16,14,23,12,15,11
AC003104.1,160,198,199,155,160,114,105,119,128
AC003664.1,4,5,8,2,1,2,1,0,0
AC003665.1,142,164,139,70,75,82,85,74,71
AC003682.16,57,44,51,47,65,47,53,36,71
AC003956.1,0,0,0,0,1,1,0,2,3
AC003958.2,3,3,0,0,0,0,1,1,2
AC003973.4,0,0,0,0,0,0,0,0,0
AC003973.5,0,0,0,0,0,0,0,0,0
AC003984.1,0,0,0,0,0,0,0,0,0
AC003985.1,0,0,0,0,0,0,0,0,0
AC003986.5,0,0,0,0,0,0,0,0,0
AC003986.6,0,0,0,0,0,0,0,0,0
AC003986.7,1,7,7,0,6,3,1,9,5
AC003988.1,0,0,0,0,0,0,2,0,0
AC003991.3,116,67,160,62,64,34,27,34,42
AC004009.3,0,0,0,0,0,0,0,0,0
AC004012.1,27,44,28,20,15,17,14,11,15
AC004014.3,21,33,0,0,2,10,4,3,2
AC004019.13,30,50,60,60,70,45,50,42,58
AC004019.18,0,0,0,0,0,0,0,0,0
AC004041.2,1,5,2,2,1,1,4,2,2
AC004051.2,0,0,0,0,0,0,0,1,0
AC004053.1,11,19,14,9,12,8,9,8,5
AC004054.1,0,0,0,0,0,0,0,0,0
AC004063.1,6,3,11,2,0,8,2,1,2
AC004066.3,0,0,0,0,0,0,0,0,0
AC004067.5,46,49,42,67,81,39,37,51,75
AC004069.2,117,119,182,24,23,23,20,20,23
AC004070.1,0,0,0,0,0,0,0,0,0
AC004076.7,28,26,20,17,9,7,14,10,7
AC004076.9,7,11,6,4,4,7,5,5,1
AC004112.4,3,3,12,1,0,7,0,0,1
AC004125.3,0,0,0,0,0,0,0,0,0
AC004156.3,18,13,24,6,6,7,6,7,7
AC004158.2,816,777,1219,437,476,517,419,394,435
AC004158.3,2,3,1,0,0,0,3,0,3
AC004160.4,17,21,8,2,3,9,5,3,4
AC004221.2,27,24,36,14,11,12,13,16,8
AC004231.2,7,17,6,7,5,2,8,11,11
AC004237.1,0,0,0,0,0,0,0,0,0
AC004257.1,8,9,13,5,4,7,7,8,11
AC004257.3,153,167,199,163,168,142,129,142,180
AC004381.6,1649,1205,2493,828,954,859,859,772,899
AC004381.7,5,0,6,1,2,2,0,0,1
AC004410.3,22,10,39,11,11,5,3,16,12
AC004447.2,4,8,7,1,0,1,0,4,4
AC004448.2,0,1,0,1,3,2,2,1,0
AC004448.5,9,12,3,2,0,3,5,5,3
AC004449.6,33,28,85,15,18,6,7,13,14
AC004463.6,226,218,345,94,94,91,86,102,113
AC004471.10,7,5,9,28,13,15,9,13,20
AC004471.9,14,4,18,4,5,3,4,4,2
AC004485.3,129,73,266,76,85,25,24,57,78
AC004490.1,2,2,10,4,4,4,2,4,2
AC004510.3,1,0,0,0,1,0,0,0,0
AC004528.4,3,3,2,11,12,12,2,14,2
AC004535.2,0,0,0,0,0,0,0,0,0
AC004538.3,85,138,65,54,50,68,72,47,59
AC004540.4,0,2,0,0,0,0,0,0,0
AC004540.5,13,10,20,4,9,1,9,14,6
AC004543.2,0,0,0,0,0,0,0,0,0
AC004549.6,14,10,18,7,8,5,5,7,9
AC004562.1,287,107,486,239,230,44,51,168,159
AC004593.3,16,2,28,0,0,0,0,0,0
AC004603.4,1,0,0,0,0,1,0,0,1
AC004623.2,2,3,6,1,2,0,2,1,1
AC004637.1,0,1,0,0,1,0,1,2,0
AC004691.5,0,0,0,0,0,0,0,0,0
AC004692.4,0,0,0,0,0,0,0,0,0
AC004702.2,10,10,18,11,16,8,15,7,8
AC004744.3,0,0,0,0,0,0,0,0,0
AC004775.5,0,0,0,0,1,0,0,0,0
AC004791.2,0,0,0,0,0,0,0,0,0
AC004837.4,0,0,1,3,1,1,1,0,1
AC004837.5,11,1,11,2,1,0,0,1,1
AC004840.8,7,5,18,18,15,10,16,17,26
AC004840.9,213,271,312,115,154,108,97,117,155
AC004854.4,88,58,128,81,65,38,32,59,72
AC004862.6,0,0,0,2,0,2,0,1,0
AC004869.2,0,0,0,0,0,0,0,0,0
AC004869.3,0,0,0,0,0,0,0,0,0
AC004870.3,2,1,0,0,0,0,0,0,0
AC004870.4,10,9,0,0,0,3,4,1,2
AC004878.2,0,2,0,0,0,0,0,0,0
AC004878.7,9,16,29,9,14,8,5,7,8
AC004878.8,0,0,0,0,0,0,0,0,0
AC004893.11,680,612,787,420,470,384,364,402,448
AC004895.4,6,7,10,3,6,0,2,3,2
AC004901.1,18,36,5,4,1,8,7,2,4
AC004906.3,0,0,0,0,0,0,0,0,0
AC004920.3,0,0,0,1,0,0,0,0,0
AC004941.3,0,2,0,1,2,0,0,1,1
AC004947.2,0,0,1,0,0,1,0,0,0
AC004951.6,884,940,1197,545,580,434,406,481,500
AC004988.1,0,0,0,3,0,0,0,0,0
AC005008.2,1,4,1,0,2,0,0,0,1
AC005009.1,8,5,4,7,7,2,2,6,2
AC005009.2,31,57,25,23,36,28,34,23,28
AC005013.5,2,5,8,2,1,5,3,1,2
AC005019.3,0,0,2,2,0,0,0,0,0
AC005022.1,1,3,1,1,3,1,0,0,0
AC005027.3,0,0,0,0,0,0,0,0,0
AC005029.1,0,0,0,0,0,0,0,0,0
AC005037.3,35,58,63,18,28,28,25,20,30
AC005041.17,0,1,0,1,1,1,2,2,1
AC005042.4,2,2,3,1,3,2,3,1,2
AC005042.5,2,0,8,17,11,14,14,12,13
AC005062.2,6,11,13,5,5,1,5,3,5
AC005076.5,142,87,181,96,114,61,53,88,77
AC005082.12,6,7,13,48,50,43,30,32,40
AC005083.1,4,4,5,3,2,1,1,1,1
AC005104.3,0,0,0,0,1,1,1,0,0
AC005150.1,1,0,3,0,0,0,0,0,1
AC005152.2,123,77,191,121,86,64,45,92,82
AC005152.3,0,0,0,0,0,0,0,0,0
AC005154.6,3253,3648,3844,1899,2120,2124,1977,1613,1900
AC005160.3,24,25,27,23,18,17,9,14,14
AC005162.4,0,0,0,0,0,1,0,0,0
AC005162.5,2,7,4,1,0,0,0,0,1
AC005197.2,1,7,4,6,2,2,0,2,4
AC005220.3,2,1,1,0,0,0,3,0,1
AC005224.2,778,703,1028,798,906,532,474,769,858
AC005235.1,0,0,4,0,0,1,0,0,0
AC005237.4,1,2,0,2,2,0,2,0,1
AC005253.2,2,2,4,4,1,0,1,7,1
AC005253.4,2,5,5,1,2,3,1,4,2
AC005256.1,0,0,0,0,0,0,0,0,0
AC005262.2,2,5,4,0,0,0,6,3,2
AC005262.3,2,4,3,3,2,2,2,2,0
AC005264.2,3,3,1,0,0,1,3,0,0
AC005276.1,0,0,2,0,0,0,0,0,0
AC005281.1,33,29,26,8,11,17,0,16,13
AC005281.2,0,0,0,0,0,0,0,0,0
AC005301.8,0,0,0,0,0,0,0,0,0
AC005304.1,22,36,29,41,35,25,15,31,28
AC005306.3,80,99,95,44,44,49,49,41,49
AC005307.1,0,0,0,0,0,1,0,0,0
AC005307.3,0,0,0,0,0,0,0,0,1
AC005324.6,0,0,0,0,0,0,0,0,0
AC005324.7,0,0,0,0,0,0,0,0,0
AC005329.7,391,300,740,243,257,154,151,227,243
AC005330.2,1,0,3,0,2,0,0,1,0
AC005339.2,33,60,55,31,38,40,32,33,43
AC005355.1,0,1,0,0,0,0,0,0,0
AC005355.2,0,0,0,0,0,0,0,0,2
AC005356.1,10,7,17,6,13,5,11,6,19
AC005358.3,0,0,0,0,0,0,0,0,0
AC005387.2,0,0,0,0,0,0,2,0,0
AC005387.3,0,2,1,0,0,0,0,1,0
AC005391.2,0,0,1,0,0,0,0,0,0
AC005392.13,0,0,0,0,0,0,0,0,0
AC005394.1,0,0,0,0,0,0,0,0,0
AC005481.5,0,0,0,0,0,1,0,0,0
AC005484.5,1,4,1,3,1,1,2,2,1
AC005487.2,1,0,1,2,2,0,1,0,0
AC005498.3,13,18,23,9,10,16,9,11,9
AC005498.4,3,12,9,10,6,2,8,3,9
AC005518.2,0,0,0,0,0,1,0,0,0
AC005519.4,197,228,294,119,112,117,115,107,108
AC005522.7,0,0,0,0,0,0,0,0,0
AC005523.2,23,11,22,5,12,12,11,21,5
AC005523.3,3,1,5,0,0,1,1,2,1
AC005532.5,83,67,129,100,66,52,51,75,63
AC005534.8,65,51,133,116,128,78,80,75,96
AC005537.2,3,0,4,1,0,0,1,0,0
AC005538.5,0,0,0,0,0,0,0,0,0
AC005540.3,41,38,90,39,27,20,17,30,33
AC005546.2,114,74,150,82,73,78,60,71,85
AC005550.3,0,0,0,0,0,0,0,0,0
AC005550.4,0,0,4,0,1,0,0,0,0
AC005550.5,5,1,1,0,0,0,0,0,0
AC005559.2,3,6,6,4,6,5,4,4,9
AC005562.1,1319,1452,1280,1031,1137,1107,1114,1039,1205
AC005592.1,3,4,8,1,1,2,2,2,2
AC005592.2,113,106,184,26,44,41,37,32,36
AC005592.3,1,4,2,2,0,0,0,0,0
AC005594.3,4,5,3,3,2,4,6,2,1
AC005597.1,11,16,25,9,9,4,4,4,4
AC005606.14,8,9,12,4,4,7,5,2,4
AC005606.15,9,1,20,2,7,2,2,9,6
AC005614.3,8,9,6,6,3,2,2,4,4
AC005614.5,0,0,0,0,0,0,0,0,0
AC005616.1,0,0,0,0,0,0,0,0,0
AC005616.2,1,1,2,0,0,0,0,0,0
AC005618.6,154,136,210,97,101,72,64,78,79
AC005624.2,1,0,0,0,0,0,1,0,1
AC005625.1,6,5,6,1,0,5,1,2,2
AC005682.5,1212,925,2242,963,1148,640,518,730,838
AC005682.8,23,27,62,19,30,26,29,24,21
AC005703.2,0,0,0,0,0,0,0,0,0
AC005703.3,0,0,0,0,0,0,0,0,0
AC005740.5,0,0,0,0,0,0,0,0,0
AC005740.6,13,26,14,19,16,20,15,17,17
AC005754.7,6,4,2,0,3,4,3,1,1
AC005754.8,72,85,91,37,45,35,29,39,42
AC005757.6,0,0,0,0,0,0,0,0,0
AC005757.7,14,7,13,2,3,0,1,2,1
AC005772.2,0,0,0,0,0,0,0,0,0
AC005775.2,15,20,37,9,5,4,6,8,4
AC005779.2,3,0,1,1,0,2,0,0,0
AC005780.1,0,0,0,0,0,0,0,0,0
AC005785.2,35,26,30,19,24,7,17,24,15
AC005786.5,18,18,18,6,18,5,3,7,9
AC005786.7,19,30,28,14,17,10,16,9,12
AC005789.11,178,235,204,113,97,168,153,125,161
AC005789.9,13,10,17,27,25,20,19,23,15
AC005808.3,1,0,1,0,0,0,0,0,0
AC005863.1,11,10,0,6,9,4,5,6,13
AC005863.2,0,2,0,0,1,0,0,0,1
AC005932.1,166,158,261,34,31,86,85,45,46
AC005943.4,60,77,96,38,45,40,35,42,48
AC005943.5,377,268,498,253,310,152,178,256,250
AC005944.2,22,23,39,13,15,4,11,8,12
AC005954.3,10,13,33,7,10,2,8,7,2
AC005954.4,2,0,0,0,0,1,0,0,1
AC006000.5,0,0,0,1,1,0,0,0,0
AC006003.3,0,0,0,0,0,0,0,0,0
AC006004.1,0,0,0,0,0,0,0,0,0
AC006007.1,0,0,0,0,0,0,0,1,0
AC006019.3,0,0,0,0,0,0,0,0,0
AC006019.4,0,0,0,0,0,0,0,0,0
AC006026.13,0,0,0,0,0,0,0,0,0
AC006037.2,0,0,0,0,0,0,0,0,0
AC006041.1,7,2,2,1,1,1,0,1,0
AC006042.6,9,7,4,0,6,7,4,2,3
AC006042.7,3,1,10,0,2,4,0,2,1
AC006050.2,1,0,1,0,0,0,0,0,0
AC006076.1,0,0,1,0,0,0,0,1,0
AC006115.3,290,345,273,423,446,338,278,301,407
AC006116.12,5,4,5,12,5,8,4,5,10
AC006116.15,52,65,63,33,44,29,26,26,38
AC006116.17,59,56,55,16,24,13,25,19,27
AC006116.19,106,147,104,84,65,88,68,72,77
AC006116.20,5,9,2,2,0,1,0,0,1
AC006116.21,91,119,128,74,91,62,59,67,80
AC006116.24,19,19,22,15,10,11,11,4,12
AC006126.3,0,8,5,2,1,0,1,0,1
AC006126.4,0,0,0,0,0,0,0,0,0
AC006129.1,142,206,123,14,30,23,35,25,34
AC006129.2,68,154,66,33,42,22,27,28,33
AC006129.4,163,320,191,13,44,40,45,26,45
AC006130.3,1,0,0,0,0,0,0,0,1
AC006132.1,0,3,1,0,0,0,1,0,1
AC006150.1,0,0,0,0,0,0,0,0,0
AC006159.3,4,2,13,6,2,3,1,5,2
AC006159.4,2,0,5,1,0,5,3,2,1
AC006159.5,0,0,1,1,1,0,0,0,0
AC006160.5,107,113,118,51,68,38,55,33,46
AC006196.1,0,0,0,0,0,0,0,0,2
AC006227.1,1,0,4,0,1,0,0,1,2
AC006262.10,0,0,0,0,0,0,0,0,0
AC006262.4,0,0,0,0,0,0,0,0,0
AC006262.5,0,0,0,0,0,0,0,0,0
AC006262.6,1,0,0,0,0,0,1,1,0
AC006272.1,4,3,6,5,1,3,4,1,6
AC006272.2,0,2,3,3,1,2,1,0,0
AC006273.4,7,12,3,2,1,4,6,3,4
AC006273.5,57,133,14,2,3,67,65,20,31
AC006273.7,10,28,6,1,2,11,9,3,7
AC006277.2,36,31,55,36,21,24,17,22,28
AC006296.1,0,0,0,0,0,0,0,0,0
AC006296.2,0,0,0,0,0,0,0,0,0
AC006369.2,3,3,1,3,5,5,9,3,2
AC006369.3,1,3,0,0,0,0,3,0,1
AC006372.4,2,0,1,3,0,1,1,0,1
AC006372.5,0,1,0,0,0,0,0,0,0
AC006372.6,1,0,0,0,0,0,0,0,0
AC006373.1,0,0,0,0,0,0,0,0,0
AC006378.2,0,0,0,0,1,0,2,0,0
AC006380.3,0,0,0,0,0,0,0,0,0
AC006445.8,19,20,16,9,12,16,11,10,10
AC006458.3,0,0,0,0,0,0,0,0,0
AC006460.2,1,1,0,1,0,1,0,1,0
AC006481.1,0,0,1,0,0,0,0,0,0
AC006482.1,0,0,1,0,0,0,0,0,0
AC006486.9,0,0,0,0,0,0,0,0,0
AC006538.1,41,38,55,27,29,16,23,30,24
AC006538.4,0,0,0,0,0,0,0,0,0
AC006547.13,2,0,1,0,0,2,1,0,1
AC006547.14,3,3,0,0,0,1,3,1,1
AC006547.15,0,0,2,1,2,0,1,1,1
AC006547.8,23,38,34,21,20,13,19,19,27
AC006552.1,0,0,0,0,0,0,0,0,0
AC006942.4,14,17,17,28,13,23,11,14,27
AC006946.15,1,1,2,3,0,0,1,4,0
AC006946.16,1,0,0,0,0,0,1,1,0
AC006946.17,0,0,0,0,0,0,0,0,0
AC006947.1,99,154,35,72,66,116,124,87,77
AC006960.7,1,0,0,11,12,16,14,8,6
AC006994.2,6,14,7,9,8,5,5,8,6
AC007003.1,0,1,0,0,1,0,0,0,0
AC007009.1,0,0,1,0,0,0,0,0,0
AC007036.4,65,74,44,47,33,31,36,35,49
AC007036.5,0,0,0,0,0,0,0,0,0
AC007036.6,1,0,0,0,2,0,1,0,0
AC007038.7,450,543,736,638,714,482,412,436,486
AC007040.11,11,11,9,14,11,10,9,10,9
AC007040.5,1,0,2,0,1,0,1,0,0
AC007040.6,0,0,1,0,1,0,0,0,1
AC007040.7,2,1,1,1,3,2,1,1,0
AC007040.8,1,4,2,3,0,0,2,1,2
AC007050.17,0,0,0,1,1,1,0,0,0
AC007064.24,20,18,21,9,10,7,12,8,4
AC007078.4,0,0,0,0,0,1,0,0,0
AC007091.1,0,0,0,0,0,0,0,0,0
AC007092.1,54,80,35,28,39,31,25,16,30
AC007098.1,0,0,0,0,0,0,0,0,1
AC007099.1,0,0,0,0,0,0,0,0,0
AC007099.2,3,0,0,0,0,0,1,0,0
AC007106.1,1,1,0,0,0,0,0,0,0
AC007126.1,0,0,0,1,1,0,0,0,0
AC007128.1,0,2,0,3,2,2,0,0,0
AC007131.1,0,1,0,0,0,0,0,0,1
AC007131.2,2,2,3,0,1,1,0,0,1
AC007161.5,0,1,0,1,0,0,0,0,0
AC007163.3,0,0,0,0,0,0,0,0,1
AC007163.6,7,12,11,3,5,5,6,3,8
AC007179.1,0,0,0,0,0,0,0,0,0
AC007182.6,0,0,2,0,0,1,1,1,0
AC007192.6,4,2,2,1,3,3,3,3,4
AC007193.10,0,1,0,1,0,0,0,0,0
AC007193.6,0,0,0,1,0,0,0,0,0
AC007193.8,15,16,23,6,13,3,6,6,8
AC007193.9,0,0,0,0,0,0,0,0,1
AC007204.2,18,6,17,13,6,1,8,4,12
AC007228.11,74,73,110,66,64,50,35,60,60
AC007228.5,19,22,46,13,19,14,9,15,18
AC007228.9,21,14,24,16,30,13,17,21,28
AC007246.3,234,259,251,122,114,197,149,112,130
AC007249.3,13,5,6,1,5,5,2,1,2
AC007250.4,1,2,0,0,0,0,0,0,0
AC007251.2,0,0,0,0,0,0,0,0,0
AC007255.8,19,16,15,16,16,16,4,9,7
AC007271.3,0,0,0,0,0,0,0,0,0
AC007277.3,830,382,1781,600,662,211,201,416,429
AC007278.2,0,0,0,0,0,0,0,0,0
AC007278.3,0,0,0,0,0,0,0,0,0
AC007283.5,0,0,0,0,0,0,0,0,0
AC007285.6,9,18,5,10,14,12,9,10,18
AC007285.7,0,0,0,0,0,0,0,0,0
AC007292.3,29,48,61,37,44,36,37,36,34
